model,model_id,status,embedding_dimension,load_time_seconds,encoding_time_seconds,avg_time_per_patent,same_cpc_hit_rate_at_3,device_used,mps_fallback_to_cpu,error_message,avg_pairwise_similarity_diagnostic,min_pairwise_similarity_diagnostic,max_pairwise_similarity_diagnostic
PatentSBERTa,AI-Growth-Lab/PatentSBERTa,SUCCESS,768.0,87.6064,2.5045,0.167,0.8667,mps,False,,0.339384,0.10864,0.561953
PaECTER,mpi-inno-comp/paecter,SUCCESS,1024.0,257.5343,1.6566,0.1104,1.0,mps,False,,0.87086,0.829741,0.940743
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,SUCCESS,768.0,41.8802,0.3365,0.0224,0.9333,mps,False,,0.537,0.406627,0.700228
E5-base-v2,intfloat/e5-base-v2,SUCCESS,768.0,59.2454,0.4872,0.0325,0.8667,mps,False,,0.750778,0.695625,0.848299
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,SUCCESS,768.0,77.9209,0.4425,0.0295,0.9333,mps,False,,0.258699,0.111466,0.477685
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,SUCCESS,384.0,23.7415,0.5077,0.0338,0.9333,mps,False,,0.211325,-0.002718,0.488778
Nomic-Embed-v1.5,nomic-ai/nomic-embed-text-v1.5,FAILED,,,,,,,,'NomicBertModel' object has no attribute 'get_extended_attention_mask',,,
